,pic_id,d_link,s_link_new
1,004_1,,NA
2,NA,,NA
3,006_2,https://drive.google.com/uc?id=1LChhehQadgkYQ2CMvGiosSE5BeaOjhVK&export=download,https://drive.google.com/file/d/1LChhehQadgkYQ2CMvGiosSE5BeaOjhVK/view?usp=drivesdk
4,007_1,https://drive.google.com/uc?id=12cTxYabPs-pkfAMV9H8fReeUBZlnhz3A&export=download,https://drive.google.com/file/d/12cTxYabPs-pkfAMV9H8fReeUBZlnhz3A/view?usp=drivesdk
5,008_2,https://drive.google.com/uc?id=1azFWwk6a84EMeexeYl_8QHNOX-BAO6GK&export=download,https://drive.google.com/file/d/1azFWwk6a84EMeexeYl_8QHNOX-BAO6GK/view?usp=drivesdk
6,009_3,https://drive.google.com/uc?id=1EV41xgT7iMJqAr2Ds8GR-aZuXBJmTBVT&export=download,https://drive.google.com/file/d/1QWhSsNuV8xp0mVkOhGs77UVm3H18Kl0d/view?usp=drivesdk
7,010_4,https://drive.google.com/uc?id=1zt2994PsGe-9AtpwSms-dDfjAG_ivGiR&export=download,https://drive.google.com/file/d/1zt2994PsGe-9AtpwSms-dDfjAG_ivGiR/view?usp=drivesdk
8,NA,,NA
9,NA,,NA
10,NA,,NA
11,NA,,NA
12,NA,,NA
13,016_2-016_3-016_4,https://drive.google.com/uc?id=1vUAYm0QeEZGmqMzxw9A7mmJ7K5l5KJhx&export=download,https://drive.google.com/drive/u/0/folders/1k-FDYHBupPPZYBm36zC28dR7k9vVB7Ek
14,017_1-0_17_2:017_5-017_alders-017_P3-017_alders_2,https://drive.google.com/uc?id=1vYoNlG9z3Ba4iM0uwJyjwi7Z2Qc0glWW&export=download,https://drive.google.com/drive/u/0/folders/1k-FDYHBupPPZYBm36zC28dR7k9vVB7Ek
15,NA,,NA
16,019_1:019_13,https://drive.google.com/uc?id=1H88nq7wJtRdanL0FZj2rDoDxRlztj432&export=download,https://drive.google.com/drive/u/0/folders/1k-FDYHBupPPZYBm36zC28dR7k9vVB7Ek
17,NA,,NA
18,021_1-021_2,https://drive.google.com/uc?id=1Gi4V9VljuBID5hdjodiawfEjme2dcbcj&export=download,https://drive.google.com/drive/u/0/folders/1k-FDYHBupPPZYBm36zC28dR7k9vVB7Ek
19,NA,,NA
20,023_1:)23_3,https://drive.google.com/uc?id=1GAx0-4aYYdnxsfJUjX-0txSz8DWtaeem&export=download,https://drive.google.com/drive/u/0/folders/1k-FDYHBupPPZYBm36zC28dR7k9vVB7Ek
21,NA,,NA
22,NA,,NA
23,NA,,NA
24,NA,,NA
25,028_4,https://drive.google.com/uc?id=1N8ds95QKD36nP1VCtmjNzJpSM4j-gfxW&export=download,https://drive.google.com/file/d/17vJ1uv_b44Da4bL8_NyE-zSXnBC5fRs7/view?usp=drivesdk
26,NA,,NA
27,NA,,NA
28,031_jaw_4,https://drive.google.com/uc?id=1RpmTu2JG4eVBHCSFLsdyaQJTlHUaIufP&export=download,https://drive.google.com/file/d/1RpmTu2JG4eVBHCSFLsdyaQJTlHUaIufP/view?usp=drivesdk
29,NA,#N/A,NA
30,NA,#N/A,NA
31,034_2,https://drive.google.com/uc?id=1XseZ8QNgVk0NfYatE_ZrnLsT-GDCBMmQ&export=download,https://drive.google.com/file/d/1XseZ8QNgVk0NfYatE_ZrnLsT-GDCBMmQ/view?usp=drivesdk
32,035_1,https://drive.google.com/uc?id=1W2lTMRio0SYLP5IyVIMkDyDgjLVgPlSK&export=download,https://drive.google.com/file/d/1W2lTMRio0SYLP5IyVIMkDyDgjLVgPlSK/view?usp=drivesdk
33,036_1,https://drive.google.com/uc?id=1OfbCMXJqoZ7bcFEan1f3HUuLIwYiCZE4&export=download,https://drive.google.com/file/d/1OfbCMXJqoZ7bcFEan1f3HUuLIwYiCZE4/view?usp=drivesdk
34,NA,#N/A,NA
35,038_McCash_Ridge,#N/A,https://drive.google.com/file/d/1lBl1wPr6DfRmxsSY3es61qR7EaloLvAr/view?usp=drivesdk
36,tracks_near_hells_sandy_junction,#N/A,https://drive.google.com/file/d/1y_xT6KvY2gyV9_U9VkkJnBKeWmqfMyM5/view?usp=drivesdk
37,040_1,https://drive.google.com/uc?id=1IjTd25W5hOmYeV9K278dFCwomDfUVM8C&export=download,https://drive.google.com/file/d/1IjTd25W5hOmYeV9K278dFCwomDfUVM8C/view?usp=drivesdk
38,041_1,https://drive.google.com/uc?id=1ajOwa6GRS8QzAVf1M3_XST8ybGyjV6y6&export=download,https://drive.google.com/file/d/1ajOwa6GRS8QzAVf1M3_XST8ybGyjV6y6/view?usp=drivesdk
39,042_1,https://drive.google.com/uc?id=1jqilhHQ3NrXtfOfyCBRWQeS2rTzMdNzs&export=download,https://drive.google.com/file/d/1jqilhHQ3NrXtfOfyCBRWQeS2rTzMdNzs/view?usp=drivesdk
40,043_2,https://drive.google.com/uc?id=1pgxX4oHCzecxOnxoz8OiRoRbdo7hMhaS&export=download,https://drive.google.com/file/d/1pgxX4oHCzecxOnxoz8OiRoRbdo7hMhaS/view?usp=drivesdk
41,NA,#N/A,NA
43,046_fresh_scat,https://drive.google.com/uc?id=1_949PfQVUeo32SPP6q_fvjmtCKlHc_-f&export=download,https://drive.google.com/file/d/1WWKfz-AR85k0uPdfjClqvDQACzFMeZnJ/view?usp=drivesdk
44,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
